author,month,mean_sentiment,n_tweets
instagram,2015-10,0.8111,4
instagram,2015-11,0.2426,7
instagram,2015-12,0.5164,7
instagram,2016-01,0.5976,8
instagram,2016-02,0.2794,10
instagram,2016-03,0.4033,13
instagram,2016-04,0.4537,11
instagram,2016-05,0.6839,15
instagram,2016-06,0.6342,18
instagram,2016-07,0.4784,11
instagram,2016-08,0.2807,5
instagram,2016-09,0.7134,9
instagram,2016-10,0.588,15
instagram,2016-11,0.4367,6
instagram,2016-12,0.5287,11
instagram,2017-01,0.5102,4
jimmyfallon,2013-09,0.525,6
jimmyfallon,2013-10,0.4407,4
jimmyfallon,2013-11,0.6454,3
jimmyfallon,2013-12,0.5228,2
jimmyfallon,2014-01,0.5092,10
jimmyfallon,2014-02,0.7178,8
jimmyfallon,2014-03,0.6334,11
jimmyfallon,2014-04,0.5992,6
jimmyfallon,2014-05,0.4543,6
jimmyfallon,2014-06,0.6504,3
jimmyfallon,2014-07,0.3429,3
jimmyfallon,2014-08,0.1648,4
jimmyfallon,2014-09,0.2886,7
jimmyfallon,2014-10,0.5237,4
jimmyfallon,2014-11,0.4599,7
jimmyfallon,2014-12,0.5176,6
jimmyfallon,2015-01,0.9845,1
jimmyfallon,2015-02,0.5681,4
jimmyfallon,2015-03,0.5533,1
jimmyfallon,2015-04,0.5693,5
jimmyfallon,2015-06,0.5469,6
jimmyfallon,2015-07,0.7808,6
jimmyfallon,2015-08,0.5541,1
jimmyfallon,2015-09,0.5477,4
jimmyfallon,2015-10,0.8306,3
jimmyfallon,2015-11,0.2948,7
jimmyfallon,2015-12,0.8453,6
jimmyfallon,2016-01,0.6116,2
jimmyfallon,2016-02,0.2593,6
jimmyfallon,2016-03,0.3392,2
jimmyfallon,2016-04,0.9657,1
jimmyfallon,2016-05,0.5387,3
jimmyfallon,2016-06,0.3767,3
jimmyfallon,2016-07,0.0432,4
jimmyfallon,2016-08,0.4523,5
jimmyfallon,2016-09,0.7468,4
jimmyfallon,2016-10,0.6112,7
jimmyfallon,2016-11,0.0077,3
jimmyfallon,2016-12,0.3854,1
jimmyfallon,2017-01,0.5217,1
jtimberlake,2010-06,0.8662,1
jtimberlake,2011-05,0.1831,1
jtimberlake,2011-07,0.4296,7
jtimberlake,2011-08,0.7832,2
jtimberlake,2011-09,0.687,1
jtimberlake,2011-10,0.3581,6
jtimberlake,2012-03,0.578,6
jtimberlake,2012-04,0.523,4
jtimberlake,2012-05,0.1044,7
jtimberlake,2012-06,0.3662,4
jtimberlake,2012-07,0.3679,1
jtimberlake,2012-08,0.7192,6
jtimberlake,2012-09,0.4152,8
jtimberlake,2012-10,-0.6417,1
jtimberlake,2012-12,0.3938,4
jtimberlake,2013-01,0.2249,3
jtimberlake,2013-02,0.6091,2
jtimberlake,2013-03,-0.9283,1
jtimberlake,2013-04,0.0186,1
jtimberlake,2013-06,0.3761,3
jtimberlake,2013-07,0.2295,4
jtimberlake,2013-08,0.6954,3
jtimberlake,2013-09,0.664,9
jtimberlake,2013-11,0.6405,6
jtimberlake,2014-01,0.9747,1
jtimberlake,2014-02,0.0517,3
jtimberlake,2014-03,0.9707,1
jtimberlake,2014-05,0.5975,6
jtimberlake,2014-08,0.7838,1
jtimberlake,2014-09,0.5818,3
jtimberlake,2014-10,0.558,2
jtimberlake,2014-11,0.7129,2
jtimberlake,2014-12,0.5507,3
jtimberlake,2015-01,0.9685,1
jtimberlake,2015-02,0.5934,2
jtimberlake,2015-03,0.9812,1
jtimberlake,2015-04,0.9822,2
jtimberlake,2015-08,0.1606,1
jtimberlake,2015-10,0.9878,1
jtimberlake,2015-12,0.4599,1
jtimberlake,2016-02,0.9152,2
jtimberlake,2016-03,0.9713,1
jtimberlake,2016-04,-0.7955,1
jtimberlake,2016-05,0.7457,8
jtimberlake,2016-07,0.5983,3
jtimberlake,2016-11,0.9707,1
jtimberlake,2016-12,0.9034,1
justinbieber,2015-03,0.7198,2
justinbieber,2015-04,0.5882,3
justinbieber,2015-05,0.5821,6
justinbieber,2015-06,0.3938,6
justinbieber,2015-07,0.6123,7
justinbieber,2015-08,0.6243,11
justinbieber,2015-09,0.5566,9
justinbieber,2015-10,0.6852,7
justinbieber,2015-11,0.5499,15
justinbieber,2015-12,0.7144,3
justinbieber,2016-01,0.7824,2
justinbieber,2016-02,0.5005,2
justinbieber,2016-03,0.7663,7
justinbieber,2016-04,0.6614,5
justinbieber,2016-05,0.8938,1
justinbieber,2016-06,0.3158,2
justinbieber,2016-07,0.6945,6
justinbieber,2016-09,0.1611,2
justinbieber,2016-10,0.3001,1
justinbieber,2016-11,0.7486,4
justinbieber,2016-12,0.7465,2
katyperry,2012-09,0.2311,1
katyperry,2012-11,0.9773,2
katyperry,2013-01,0.9879,1
katyperry,2013-02,0.5372,2
katyperry,2013-03,-0.2504,1
katyperry,2013-04,0.2077,6
katyperry,2013-05,-0.4406,4
katyperry,2013-06,0.2725,1
katyperry,2013-07,0.7169,2
katyperry,2013-08,0.4171,7
katyperry,2013-09,0.5937,6
katyperry,2013-10,0.4379,8
katyperry,2013-11,0.684,3
katyperry,2013-12,0.57,4
katyperry,2014-01,0.7985,4
katyperry,2014-03,-0.211,2
katyperry,2014-04,0.393,8
katyperry,2014-05,0.692,5
katyperry,2014-06,0.7137,3
katyperry,2014-07,0.6282,5
katyperry,2014-08,0.5575,4
katyperry,2014-09,0.9291,2
katyperry,2014-10,0.9894,1
katyperry,2014-11,0.0391,8
katyperry,2014-12,0.2975,2
katyperry,2015-01,0.3589,2
katyperry,2015-02,0.6746,4
katyperry,2015-03,-0.6388,1
katyperry,2015-04,0.6401,2
katyperry,2015-05,0.6292,2
katyperry,2015-06,0.3474,2
katyperry,2015-07,0.6691,4
katyperry,2015-08,0.0554,2
katyperry,2015-09,0.5074,2
katyperry,2015-10,0.1988,3
katyperry,2015-11,-0.3202,2
katyperry,2015-12,0.5995,3
katyperry,2016-04,0.5956,1
katyperry,2016-06,0.5804,1
katyperry,2016-07,0.3809,8
katyperry,2016-09,0.2293,15
katyperry,2016-10,0.7525,6
katyperry,2016-11,0.2351,1
katyperry,2017-01,0.98,1
kimkardashian,2015-05,0.8426,2
kimkardashian,2015-06,0.6594,9
kimkardashian,2015-07,0.6034,17
kimkardashian,2015-08,0.4166,6
kimkardashian,2015-09,0.7696,13
kimkardashian,2015-10,0.7568,10
kimkardashian,2015-11,0.6169,9
kimkardashian,2015-12,0.6393,14
kimkardashian,2016-01,0.562,11
kimkardashian,2016-02,0.3302,9
kimkardashian,2016-03,0.6559,11
kimkardashian,2016-04,0.4422,6
kimkardashian,2016-05,0.7248,9
kimkardashian,2016-06,0.4062,15
kimkardashian,2016-07,0.724,9
kimkardashian,2016-08,0.5592,16
kimkardashian,2016-09,0.4658,9
kimkardashian,2017-01,0.4912,4
ladygaga,2014-08,0.4748,12
ladygaga,2014-09,0.652,16
ladygaga,2014-10,0.78,7
ladygaga,2014-11,0.7398,6
ladygaga,2014-12,0.6741,5
ladygaga,2015-01,0.7068,5
ladygaga,2015-02,0.9649,7
ladygaga,2015-03,0.2003,2
ladygaga,2015-04,0.6471,3
ladygaga,2015-06,0.6207,4
ladygaga,2015-07,0.509,6
ladygaga,2015-08,0.5874,5
ladygaga,2015-09,0.4344,3
ladygaga,2015-10,0.4929,8
ladygaga,2015-11,0.3476,3
ladygaga,2015-12,0.5905,3
ladygaga,2016-01,0.3489,3
ladygaga,2016-02,0.7452,4
ladygaga,2016-03,0.5111,2
ladygaga,2016-06,0.5372,8
ladygaga,2016-07,0.8291,3
ladygaga,2016-08,0.3026,3
ladygaga,2016-09,0.8028,10
ladygaga,2016-10,0.5452,15
ladygaga,2016-11,0.516,7
ladygaga,2016-12,0.7485,6
rihanna,2012-10,0.2246,3
rihanna,2012-11,0.4295,11
rihanna,2012-12,0.976,4
rihanna,2013-01,0.4175,9
rihanna,2013-02,0.2231,3
rihanna,2013-03,0.759,11
rihanna,2013-04,0.5199,5
rihanna,2013-05,0.2681,6
rihanna,2013-06,-0.1458,4
rihanna,2013-07,0.6529,5
rihanna,2013-08,0.2219,5
rihanna,2013-09,0.6858,7
rihanna,2013-10,0.4599,4
rihanna,2013-11,0.6387,3
rihanna,2013-12,0.8857,2
rihanna,2014-01,0.1226,2
rihanna,2014-03,0.5416,2
rihanna,2014-04,0.7921,1
rihanna,2014-05,0.5506,3
rihanna,2014-06,0.8668,5
rihanna,2014-07,0.5069,7
rihanna,2014-08,0.1517,3
rihanna,2014-10,0.9843,1
rihanna,2014-11,0.1927,3
rihanna,2014-12,0.9757,2
rihanna,2015-02,0.804,2
rihanna,2015-08,0.7192,1
rihanna,2015-12,0.1781,1
rihanna,2016-01,0.1736,1
rihanna,2016-02,0.4606,2
rihanna,2016-03,0.0808,3
rihanna,2016-06,0.5676,2
rihanna,2016-07,0.8586,3
rihanna,2016-09,0.6636,4
rihanna,2017-01,0.6445,1
selenagomez,2010-06,0.5932,3
selenagomez,2010-07,0.9732,5
selenagomez,2010-09,0.3009,3
selenagomez,2010-10,0.9882,1
selenagomez,2010-11,0.9826,2
selenagomez,2010-12,-0.2643,1
selenagomez,2011-01,0.6772,4
selenagomez,2011-02,0.9829,3
selenagomez,2011-03,0.8814,8
selenagomez,2011-06,0.9162,5
selenagomez,2011-07,0.247,1
selenagomez,2011-08,0.93,6
selenagomez,2011-09,0.8214,4
selenagomez,2011-10,0.4834,3
selenagomez,2011-11,0.5445,7
selenagomez,2012-01,0.4519,5
selenagomez,2012-02,0.6877,2
selenagomez,2012-03,0.9744,1
selenagomez,2012-05,0.6672,3
selenagomez,2012-06,0.9757,2
selenagomez,2012-07,0.9553,4
selenagomez,2012-08,0.9881,1
selenagomez,2012-09,0.9619,2
selenagomez,2012-10,0.7979,1
selenagomez,2012-11,0.9893,1
selenagomez,2013-01,0.7614,3
selenagomez,2013-02,0.9845,1
selenagomez,2013-03,0.8942,5
selenagomez,2013-04,0.7981,6
selenagomez,2013-05,0.7032,6
selenagomez,2013-06,0.2565,4
selenagomez,2013-07,0.1736,3
selenagomez,2013-08,0.627,3
selenagomez,2013-09,0.7282,1
selenagomez,2013-10,-0.0171,2
selenagomez,2013-11,0.6076,2
selenagomez,2013-12,-0.1926,2
selenagomez,2014-01,0.2465,1
selenagomez,2014-02,-0.4743,1
selenagomez,2014-03,0.9877,1
selenagomez,2014-05,0.4141,3
selenagomez,2014-07,0.2402,4
selenagomez,2014-08,0.0122,3
selenagomez,2014-10,0.5897,8
selenagomez,2014-11,0.9724,1
selenagomez,2014-12,0.99,1
selenagomez,2015-01,0.5068,3
selenagomez,2015-03,0.4178,1
selenagomez,2015-06,0.89,7
selenagomez,2015-07,0.9486,2
selenagomez,2015-08,0.6133,4
selenagomez,2015-09,0.873,2
selenagomez,2015-10,-0.0687,2
selenagomez,2015-12,0.2912,2
selenagomez,2016-01,0.1565,2
selenagomez,2016-03,0.955,1
selenagomez,2016-06,0.3441,3
selenagomez,2016-07,-0.2482,2
shakira,2012-01,0.6128,2
shakira,2012-02,0.8016,2
shakira,2012-03,0.1068,1
shakira,2012-04,0.2519,2
shakira,2012-06,0.1368,1
shakira,2012-07,0.5233,2
shakira,2012-08,0.4673,1
shakira,2012-10,0.1591,1
shakira,2012-11,0.1572,1
shakira,2013-02,0.9498,2
shakira,2013-03,0.6343,3
shakira,2013-04,0.6835,3
shakira,2013-05,0.339,2
shakira,2013-06,0.6415,4
shakira,2013-07,0.2078,1
shakira,2013-08,0.6758,4
shakira,2013-09,0.9018,1
shakira,2013-10,0.6947,1
shakira,2013-11,0.0523,1
shakira,2013-12,0.9631,1
shakira,2014-01,0.6491,3
shakira,2014-02,0.5738,5
shakira,2014-03,0.4909,7
shakira,2014-04,0.4197,7
shakira,2014-05,0.4767,5
shakira,2014-06,0.6038,2
shakira,2014-08,0.172,1
shakira,2014-10,0.9845,1
shakira,2014-11,0.6333,1
shakira,2014-12,0.4615,8
shakira,2015-01,0.6163,2
shakira,2015-04,0.2063,1
shakira,2015-05,0.2222,1
shakira,2015-08,0.1927,2
shakira,2015-09,0.1329,6
shakira,2015-10,0.6314,3
shakira,2015-12,0.5486,1
shakira,2016-01,0.304,2
shakira,2016-02,0.4952,3
shakira,2016-03,0.3099,1
shakira,2016-04,0.0033,2
shakira,2016-05,0.6622,1
shakira,2016-06,0.1475,1
shakira,2016-07,0.0754,1
shakira,2016-08,0.35,4
shakira,2016-11,0.7284,2
shakira,2016-12,0.9583,1
taylorswift13,2011-05,0.9894,1
taylorswift13,2011-07,0.9834,1
taylorswift13,2011-08,0.984,5
taylorswift13,2011-09,0.9849,1
taylorswift13,2011-10,0.937,1
taylorswift13,2011-11,0.0736,2
taylorswift13,2011-12,0.6256,4
taylorswift13,2012-02,0.4333,1
taylorswift13,2012-03,0.1294,1
taylorswift13,2012-05,0.3724,2
taylorswift13,2012-08,0.3291,4
taylorswift13,2012-09,0.6412,5
taylorswift13,2012-10,0.4465,4
taylorswift13,2012-11,0.2459,2
taylorswift13,2012-12,-0.8959,1
taylorswift13,2013-01,0.0386,1
taylorswift13,2013-02,0.1529,1
taylorswift13,2013-03,0.0228,2
taylorswift13,2013-04,0.9837,1
taylorswift13,2013-05,0.6362,5
taylorswift13,2013-07,0.1387,1
taylorswift13,2013-08,0.2823,2
taylorswift13,2013-09,0.5839,1
taylorswift13,2013-10,0.1103,1
taylorswift13,2013-11,0.4703,2
taylorswift13,2013-12,0.4111,5
taylorswift13,2014-01,0.0672,1
taylorswift13,2014-06,0.9863,2
taylorswift13,2014-07,0.9434,1
taylorswift13,2014-08,0.659,4
taylorswift13,2014-09,-0.15,3
taylorswift13,2014-10,0.4771,21
taylorswift13,2014-11,0.4204,7
taylorswift13,2014-12,0.815,2
taylorswift13,2015-01,0.9643,3
taylorswift13,2015-02,-0.1081,2
taylorswift13,2015-03,0.1129,3
taylorswift13,2015-05,0.3977,6
taylorswift13,2015-06,0.946,2
taylorswift13,2015-07,0.3417,3
taylorswift13,2015-08,0.838,5
taylorswift13,2015-09,0.505,2
taylorswift13,2015-10,0.9878,1
taylorswift13,2016-08,0.982,1
taylorswift13,2016-11,0.9734,1
theellenshow,2015-04,0.5097,18
theellenshow,2015-05,0.5321,6
theellenshow,2015-06,0.8286,10
theellenshow,2015-07,0.9624,2
theellenshow,2015-08,0.7684,8
theellenshow,2015-09,0.876,8
theellenshow,2015-10,0.6529,22
theellenshow,2015-11,0.396,8
theellenshow,2015-12,0.9409,6
theellenshow,2016-01,0.6741,15
theellenshow,2016-02,0.7899,17
theellenshow,2016-03,0.7187,11
theellenshow,2016-04,0.5934,10
theellenshow,2016-05,0.6094,8
theellenshow,2016-06,0.8969,7
theellenshow,2016-07,0.5484,2
theellenshow,2016-08,0.6492,5
theellenshow,2016-09,0.6277,13
theellenshow,2016-10,0.7621,18
theellenshow,2016-11,0.5932,8
theellenshow,2016-12,0.5832,12
theellenshow,2017-01,0.464,9
twitter,2009-12,0.9075,1
twitter,2010-01,0.2052,2
twitter,2010-02,0.0534,3
twitter,2010-03,-0.145,1
twitter,2010-04,0.3586,2
twitter,2010-06,0.942,1
twitter,2010-08,0.6284,1
twitter,2010-09,0.4019,2
twitter,2010-10,0.774,3
twitter,2010-11,0.6522,2
twitter,2010-12,0.3796,3
twitter,2011-02,0.67,4
twitter,2011-03,0.0987,3
twitter,2011-04,0.2358,2
twitter,2011-05,0.5556,3
twitter,2011-07,0.5855,3
twitter,2011-08,0.1717,2
twitter,2011-12,0.0941,2
twitter,2012-01,0.8551,1
twitter,2012-02,0.1915,2
twitter,2012-07,0.8469,1
twitter,2012-09,0.5234,1
twitter,2012-10,0.7064,3
twitter,2012-11,0.8489,1
twitter,2012-12,0.2455,2
twitter,2013-07,-0.265,1
twitter,2013-10,0.1755,1
twitter,2014-10,0.1344,1
twitter,2014-12,0.3703,2
twitter,2015-01,0.1752,2
twitter,2015-03,0.912,1
twitter,2015-04,0.4751,1
twitter,2015-05,0.8722,2
twitter,2015-09,0.2026,1
twitter,2015-10,0.4114,2
twitter,2015-11,0.6294,3
twitter,2015-12,0.7828,2
twitter,2016-01,0.5694,2
twitter,2016-03,0.6729,15
twitter,2016-04,0.2111,3
twitter,2016-05,0.6262,2
twitter,2016-06,0.6136,6
twitter,2016-07,0.9612,1
twitter,2016-08,0.6681,3
twitter,2016-09,0.5722,11
twitter,2016-10,0.7278,2
twitter,2016-11,0.5543,8
twitter,2016-12,0.5646,13
twitter,2017-01,0.5495,4
youtube,2015-12,0.4377,7
youtube,2016-01,0.4674,13
youtube,2016-02,0.6342,13
youtube,2016-03,0.3469,13
youtube,2016-04,0.3564,19
youtube,2016-05,0.3102,10
youtube,2016-06,0.4522,9
youtube,2016-07,0.4075,10
youtube,2016-08,0.4058,14
youtube,2016-09,0.57,16
youtube,2016-10,0.4413,10
youtube,2016-11,0.1898,13
youtube,2016-12,0.3519,15
youtube,2017-01,0.4282,14
