matrix_row,matrix_order,cluster,cluster_name,count,row_total,proportion
P12 · Useful Contacts,24,2,Biology & Chemistry,0,3,0.0
P12 · Useful Contacts,24,3,Language Learning,0,3,0.0
P12 · Useful Contacts,24,4,"Math, Computer Science & Data Science",0,3,0.0
P12 · Useful Contacts,24,5,Grading & Placement Credit,0,3,0.0
P12 · Useful Contacts,24,6,"Society, Culture & Global Humanities",0,3,0.0
P12 · Useful Contacts,24,7,"Degree Credits, Matriculation & Transfer",1,3,0.3333
P12 · Useful Contacts,24,8,"Registration, Leave & Academic Calendar",0,3,0.0
P12 · Useful Contacts,24,9,"Politics, Economics & Behavior",0,3,0.0
P12 · Useful Contacts,24,10,Major Requirement Lists & Electives,0,3,0.0
P12 · Useful Contacts,24,11,Environment & Global Health,0,3,0.0
P12 · Useful Contacts,24,12,Interdisciplinary Seminars & Advising,0,3,0.0
P12 · Useful Contacts,24,13,Media & Arts,0,3,0.0
P12 · Useful Contacts,24,14,Asia Studies,0,3,0.0
